Tanggal;Prov;Provinsi;Running Sum of divaksin2 (ribu);divaksin2 (ribu)
11/09/2021 00.00.00;Yogyakarta;Yogyakarta;925,185;12,643
12/09/2021 00.00.00;Yogyakarta;Yogyakarta;927,041;1,856
13/09/2021 00.00.00;Yogyakarta;Yogyakarta;943,187;16,146
14/09/2021 00.00.00;Yogyakarta;Yogyakarta;960,757;17,57
15/09/2021 00.00.00;Yogyakarta;Yogyakarta;988,41;27,653
16/09/2021 00.00.00;Yogyakarta;Yogyakarta;1013,719;25,309
17/09/2021 00.00.00;Yogyakarta;Yogyakarta;1032,447;18,728
18/09/2021 00.00.00;Yogyakarta;Yogyakarta;1056,853;24,406
19/09/2021 00.00.00;Yogyakarta;Yogyakarta;1065,963;9,11
20/09/2021 00.00.00;Yogyakarta;Yogyakarta;1101,785;35,822
21/09/2021 00.00.00;Yogyakarta;Yogyakarta;1140,176;38,391
22/09/2021 00.00.00;Yogyakarta;Yogyakarta;1183,419;43,243
23/09/2021 00.00.00;Yogyakarta;Yogyakarta;1223,151;39,732
24/09/2021 00.00.00;Yogyakarta;Yogyakarta;1256,926;33,775
25/09/2021 00.00.00;Yogyakarta;Yogyakarta;1288,171;31,245
26/09/2021 00.00.00;Yogyakarta;Yogyakarta;1295,272;7,101
27/09/2021 00.00.00;Yogyakarta;Yogyakarta;1325,786;30,514
28/09/2021 00.00.00;Yogyakarta;Yogyakarta;1359,187;33,401
29/09/2021 00.00.00;Yogyakarta;Yogyakarta;1392,857;33,67
30/09/2021 00.00.00;Yogyakarta;Yogyakarta;1426,392;33,535
01/10/2021 00.00.00;Yogyakarta;Yogyakarta;1448,186;21,794
02/10/2021 00.00.00;Yogyakarta;Yogyakarta;1479,078;30,892
03/10/2021 00.00.00;Yogyakarta;Yogyakarta;1489,276;10,198
04/10/2021 00.00.00;Yogyakarta;Yogyakarta;1525,357;36,081
05/10/2021 00.00.00;Yogyakarta;Yogyakarta;1562,329;36,972
06/10/2021 00.00.00;Yogyakarta;Yogyakarta;1599,43;37,101
07/10/2021 00.00.00;Yogyakarta;Yogyakarta;1642,26;42,83
08/10/2021 00.00.00;Yogyakarta;Yogyakarta;1665,741;23,481
09/10/2021 00.00.00;Yogyakarta;Yogyakarta;1698,306;32,565
10/10/2021 00.00.00;Yogyakarta;Yogyakarta;1705,185;6,879
11/10/2021 00.00.00;Yogyakarta;Yogyakarta;1735,129;29,944
12/10/2021 00.00.00;Yogyakarta;Yogyakarta;1776,159;41,03
13/10/2021 00.00.00;Yogyakarta;Yogyakarta;1808,348;32,189
14/10/2021 00.00.00;Yogyakarta;Yogyakarta;1851,533;43,185
15/10/2021 00.00.00;Yogyakarta;Yogyakarta;1875,47;23,937
16/10/2021 00.00.00;Yogyakarta;Yogyakarta;1908,77;33,3
17/10/2021 00.00.00;Yogyakarta;Yogyakarta;1915,079;6,309
18/10/2021 00.00.00;Yogyakarta;Yogyakarta;1945,421;30,342
19/10/2021 00.00.00;Yogyakarta;Yogyakarta;1969,248;23,827
20/10/2021 00.00.00;Yogyakarta;Yogyakarta;1981,038;11,79
21/10/2021 00.00.00;Yogyakarta;Yogyakarta;2025,336;44,298
22/10/2021 00.00.00;Yogyakarta;Yogyakarta;2038,382;13,046
23/10/2021 00.00.00;Yogyakarta;Yogyakarta;2065,142;26,76
24/10/2021 00.00.00;Yogyakarta;Yogyakarta;2068,781;3,639
25/10/2021 00.00.00;Yogyakarta;Yogyakarta;2089,709;20,928
26/10/2021 00.00.00;Yogyakarta;Yogyakarta;2113,175;23,466
27/10/2021 00.00.00;Yogyakarta;Yogyakarta;2143,92;30,745
28/10/2021 00.00.00;Yogyakarta;Yogyakarta;2179,381;35,461
29/10/2021 00.00.00;Yogyakarta;Yogyakarta;2191,349;11,968
30/10/2021 00.00.00;Yogyakarta;Yogyakarta;2207,285;15,936
31/10/2021 00.00.00;Yogyakarta;Yogyakarta;2212,127;4,842
01/11/2021 00.00.00;Yogyakarta;Yogyakarta;2227,314;15,187
02/11/2021 00.00.00;Yogyakarta;Yogyakarta;2245,599;18,285
03/11/2021 00.00.00;Yogyakarta;Yogyakarta;2265,347;19,748
04/11/2021 00.00.00;Yogyakarta;Yogyakarta;2286,462;21,115
05/11/2021 00.00.00;Yogyakarta;Yogyakarta;2296,716;10,254
06/11/2021 00.00.00;Yogyakarta;Yogyakarta;2316,383;19,667
07/11/2021 00.00.00;Yogyakarta;Yogyakarta;2318,998;2,615
08/11/2021 00.00.00;Yogyakarta;Yogyakarta;2332,353;13,355
09/11/2021 00.00.00;Yogyakarta;Yogyakarta;2343,389;11,036
10/11/2021 00.00.00;Yogyakarta;Yogyakarta;2357,71;14,321
11/11/2021 00.00.00;Yogyakarta;Yogyakarta;2369,138;11,428
12/11/2021 00.00.00;Yogyakarta;Yogyakarta;2375,701;6,563
13/11/2021 00.00.00;Yogyakarta;Yogyakarta;2384,608;8,907
14/11/2021 00.00.00;Yogyakarta;Yogyakarta;2385,556;0,948
15/11/2021 00.00.00;Yogyakarta;Yogyakarta;2396,688;11,132
16/11/2021 00.00.00;Yogyakarta;Yogyakarta;2407,999;11,311
17/11/2021 00.00.00;Yogyakarta;Yogyakarta;2417,68;9,681
18/11/2021 00.00.00;Yogyakarta;Yogyakarta;2428,017;10,337
19/11/2021 00.00.00;Yogyakarta;Yogyakarta;2431,952;3,935
