Batch;Filter Kategori;Prov;Provinsi;tanggal terakhir;Tanggal;Divaksin 3
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Timur;Kalimantan Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;5
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Sumatera Selatan;Sumatera Selatan;True;02/11/2022 00.00.00;0
SDM KESEHATAN;SDM KESEHATAN;Aceh;Aceh;True;02/11/2022 00.00.00;0
GOTONG ROYONG;GOTONG ROYONG;Maluku Utara;Maluku Utara;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Kalimantan Timur;Kalimantan Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Timur;Jawa Timur;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Bangka Belitung;Kepulauan Bangka Belitung;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Sulawesi Selatan;Sulawesi Selatan;True;02/11/2022 00.00.00;0
PETUGAS PUBLIK;PETUGAS PUBLIK;Bali;Bali;True;02/11/2022 00.00.00;1
PETUGAS PUBLIK;PETUGAS PUBLIK;Dki Jakarta;Dki Jakarta;True;02/11/2022 00.00.00;3
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Barat;Jawa Barat;True;02/11/2022 00.00.00;4
PETUGAS PUBLIK;PETUGAS PUBLIK;Jawa Tengah;Jawa Tengah;True;02/11/2022 00.00.00;4
